scanning 49 VEH_*_AT.BIN bundles...
processed 48, skipped 1

════════════════════════════════════════════════════════════════════════════════
PER-CLASS FIELD RANGES
════════════════════════════════════════════════════════════════════════════════

## burnoutcarasset  (20 fields)
────────────────────────────────────────────────────────────────────────────────
Offences                                 ref[]  lens={12×48} slots=12
SoundExhaustAsset                        ref    class=1u key=8u
SoundEngineAsset                         ref    class=1u key=8u
PhysicsVehicleHandlingAsset              ref    class=1u key=48u
GraphicsAsset                            ref    class=1u key=48u
CarUnlockShot                            ref    class=1u key=1u
CameraExternalBehaviourAsset             ref    class=1u key=48u
CameraBumperBehaviourAsset               ref    class=1u key=48u
VehicleID                                bytes8 (1u: ""(48))
PhysicsAsset                             u64    24u distinct
MasterSceneMayaBinaryFile                u64    24u distinct
InGameName                               bytes8 (1u: ""(48))
GameplayAsset                            u64    24u distinct
ExhaustName                              bytes8 (1u: ""(48))
ExhaustEntityKey                         u64    8u distinct
EngineName                               bytes8 (1u: ""(48))
EngineEntityKey                          u64    8u distinct
DefaultWheel                             u64    29u distinct
BuildThisVehicle                         bool   true=48/48
_carAssetPad                             int[]  lens={3×48} vals=[0, 0] n=144 (1u: 0)

## burnoutcargraphicsasset  (11 fields)
────────────────────────────────────────────────────────────────────────────────
PlayerPalletteIndex                      int    [0, 3] n=48 (4u: 0,1,2,3)
PlayerColourIndex                        int    [0, 24] n=48 (17u: 0,1,3,4…23,24)
Alloc                                    int    [1, 1] n=48 (1u: 1)
Num_RandomTrafficColours                 int    [1, 1] n=48 (1u: 1)
Size                                     int    [4, 4] n=48 (1u: 4)
EncodedTypePad                           int    [0, 0] n=48 (1u: 0)
RandomTrafficColours                     int[]  lens={1×48} vals=[0, 0] n=48 (1u: 0)
Alloc_Offences                           int    [12, 12] n=48 (1u: 12)
Num_Offences                             int    [12, 12] n=48 (1u: 12)
Size_Offences                            int    [24, 24] n=48 (1u: 24)
EncodedTypePad_Offences                  int    [0, 0] n=48 (1u: 0)

## camerabumperbehaviour  (11 fields)
────────────────────────────────────────────────────────────────────────────────
ZOffset                                  f32    [1.2000, 1.6000] μ=1.5562 σ=0.1223 n=48 (3u)
YOffset                                  f32    [0.1750, 0.6000] μ=0.3443 σ=0.0689 n=48 (7u)
YawSpring                                f32    [0.7000, 0.7000] μ=0.7000 σ=0 n=48 (1u)
RollSpring                               int    [1, 1] n=48 (1u: 1)
PitchSpring                              f32    [0.5000, 0.5000] μ=0.5000 σ=0 n=48 (1u)
FieldOfView                              int    [80, 80] n=48 (1u: 80)
BoostFieldOfView                         int    [105, 105] n=48 (1u: 105)
BodyRollScale                            f32    [1.5000, 1.5000] μ=1.5000 σ=0 n=48 (1u)
BodyPitchScale                           f32    [1.5000, 1.5000] μ=1.5000 σ=0 n=48 (1u)
AccelerationResponse                     f32    [3.0000, 3.0000] μ=3.0000 σ=0 n=48 (1u)
AccelerationDampening                    int    [0, 0] n=48 (1u: 0)

## cameraexternalbehaviour  (17 fields)
────────────────────────────────────────────────────────────────────────────────
ZDistanceScale                           int    [0, 0] n=48 (1u: 0)
ZAndTiltCutoffSpeedMPH                   int    [100, 100] n=48 (1u: 100)
YawSpring                                f32    [0.0600, 0.1100] μ=0.0805 σ=0.0091 n=48 (8u)
TiltCameraScale                          int    [1, 1] n=48 (1u: 1)
TiltAroundCar                            int    [1, 1] n=48 (1u: 1)
SlideZOffsetMax                          int    [0, 0] n=48 (1u: 0)
SlideYScale                              int    [0, 0] n=48 (1u: 0)
SlideXScale                              int    [0, 0] n=48 (1u: 0)
PivotZOffset                             f32    [1.3000, 2.2000] μ=1.5958 σ=0.1914 n=48 (9u)
PivotLength                              f32    [6.6000, 7.8000] μ=6.9729 σ=0.3102 n=48 (9u)
PivotHeight                              f32    [0.9000, 1.4000] μ=0.9812 σ=0.1116 n=48 (6u)
PitchSpring                              f32    [0.5500, 1.0000] μ=0.5594 σ=0.0643 n=48 (2u)
FieldOfView                              int    [60, 80] n=48 (3u: 60,70,80)
DriftYawSpring                           f32    [0.0500, 0.0900] μ=0.0664 σ=0.0088 n=48 (6u)
DownAngle                                int    [0, 5] n=48 (2u: 0,5)
BoostFieldOfViewZoom                     int    [0, 0] n=48 (1u: 0)
BoostFieldOfView                         int    [80, 95] n=48 (3u: 80,90,95)

## physicsvehiclebaseattribs  (66 fields)
────────────────────────────────────────────────────────────────────────────────
_baseAlign                               int    [0, 0] n=48 (1u: 0)
RearRightWheelPosition                   int[]  lens={4×48} vals=[-1.5, 0.8500000238418579] n=192 (5u: -1.5,-0.4000000059604645,-0.20000000298023224,0,0.8500000238418579)
FrontRightWheelPosition                  int[]  lens={4×48} vals=[-0.4000000059604645, 1.100000023841858] n=192 (5u: -0.4000000059604645,-0.20000000298023224,0,0.8500000238418579,1.100000023841858)
CoMOffset                                int[]  lens={4×48} vals=[-0.20000000298023224, 15000] n=192 (14u: -0.20000000298023224,-0.15000000596046448,0,1500…12000,15000)
BrakeScaleToFactor                       int[]  lens={4×48} vals=[0, 7] n=192 (9u: 0,2,2.5,3…6,7)
YawDampingOnTakeOff                      f32    [0, 0.0400] μ=0.0267 σ=0.0189 n=48 (2u)
TractionLineLength                       f32    [0.2000, 0.2000] μ=0.2000 σ=0 n=48 (1u)
TimeForFullBrake                         int    [3, 5] n=48 (3u: 3,4,5)
SurfaceRoughnessFactor                   f32    [0.3000, 1.0000] μ=0.7979 σ=0.1164 n=48 (4u)
SurfaceRearGripFactor                    f32    [0.4000, 0.9000] μ=0.7521 σ=0.0918 n=48 (6u)
SurfaceFrontGripFactor                   f32    [0.1320, 0.3300] μ=0.2523 σ=0.0400 n=48 (6u)
SurfaceDragFactor                        f32    [0.0500, 0.9000] μ=0.2219 σ=0.1472 n=48 (6u)
RollLimitOnTakeOff                       f32    [0.6500, 1.1000] μ=0.8202 σ=0.1606 n=48 (6u)
RollDampingOnTakeOff                     f32    [0, 0.0750] μ=0.0051 σ=0.0148 n=48 (9u)
RearWheelMass                            int    [20, 120] n=48 (5u: 20,30,45,50,120)
RearTireStaticFrictionCoefficient        f32    [2.0000, 3.5000] μ=2.7656 σ=0.3574 n=48 (11u)
RearTireLongForceBias                    f32    [-0.2000, 0.3000] μ=-0.0146 σ=0.1683 n=48 (4u)
RearTireDynamicFrictionCoefficient       f32    [2.0000, 3.5000] μ=2.7656 σ=0.3574 n=48 (11u)
RearTireAdhesiveLimit                    int    [18000, 50000] n=48 (13u: 18000,19000,20000,21000…32000,50000)
